-0.441,0.364,9.792
-0.388,0.369,9.831
-0.393,0.383,9.735
-0.426,0.407,9.821
-0.412,0.421,9.802
-0.402,0.397,9.783
-0.436,0.441,9.773
-0.431,0.431,9.768
-0.441,0.412,9.811
-0.436,0.397,9.855
-0.417,0.421,9.768
-0.426,0.383,9.754
-0.412,0.383,9.754
-0.464,0.412,9.802
-0.397,0.441,9.811
-0.431,0.373,9.711
-0.45,0.373,9.792
-0.383,0.421,9.787
-0.426,0.445,9.773
-0.369,0.397,9.773
-0.436,0.378,9.764
-0.417,0.426,9.807
-0.407,0.402,9.802
-0.393,0.397,9.816
-0.364,0.369,9.74
-0.388,0.402,9.716
-0.412,0.426,9.72
-0.436,0.378,9.773
-0.383,0.369,9.759
-0.412,0.397,9.792
-0.421,0.412,9.759
-0.393,0.383,9.749
-0.393,0.402,9.778
-0.412,0.474,9.802
-0.417,0.407,9.831
-0.412,0.359,9.725
-0.369,0.402,9.792
-0.421,0.402,9.74
-0.431,0.373,9.797
-0.421,0.364,9.821
-0.373,0.393,9.792
-0.402,0.426,9.768
-0.378,0.412,9.826
-0.412,0.397,9.725
-0.393,0.397,9.778
-0.426,0.417,9.792
-0.421,0.388,9.811
-0.421,0.383,9.802
-0.426,0.397,9.768
-0.426,0.417,9.845
-0.45,0.445,9.778
-0.436,0.412,9.826
-0.426,0.412,9.807
-0.445,0.402,9.764
-0.426,0.441,9.807
-0.474,0.45,9.787
-0.45,0.421,9.773
-0.412,0.488,9.764
-0.488,0.397,9.759
-0.436,0.441,9.764
-0.441,0.455,9.84
-0.455,0.388,9.749
-0.407,0.412,9.797
-0.431,0.383,9.764
-0.455,0.369,9.764
-0.417,0.412,9.754
-0.436,0.397,9.768
-0.455,0.407,9.797
-0.326,0.431,9.821
-0.383,0.421,9.826
-0.383,0.407,9.768
-0.421,0.402,9.754
-0.378,0.426,9.835
-0.354,0.436,9.787
-0.383,0.397,9.768
-0.378,0.45,9.73
-0.718,0.484,9.246
-0.637,0.388,9.764
-0.268,0.393,9.792
